localisation_de_la_scene;code_postal;longitude;latitude;id_localisation
11 19 boulevard de clichy;75018;2.333761;48.883667;354
11 avenue de l observatoire;75006;2.33759609;48.84324775;355
11 avenue du president wilson;75016;2.297061;48.864632;356
11 avenue trudaine;75009;2.34545312;48.88158272;357
11 bis rue du perche;75003;2.360985;48.860983;358
11 boulevard de l hopital;75013;2.3635562;48.84185727;359
11 boulevard de la bastille;75012;2.36722103;48.84772554;360
11 boulevard de port royal;75013;2.34965393;48.83681678;361
11 boulevard garibaldi;75015;2.30349135;48.84757647;362
11 boulevard henri iv;75004;2.36275565;48.85138965;363
11 boulevard montmartre;75002;2.34191974;48.8715063;364
11 boulevard poissonniere;75002;2.345744;48.870891;365
11 boulevard saint marcel;75013;2.36014655;48.83921962;366
11 carrefour de l odeon;75006;2.3388887;48.85186187;367
11 cite de trevise;75009;2.34665273;48.87503424;368
11 cite vaneau;75007;2.31901754;48.85401626;369
11 passage hebrard;75010;2.37230407;48.87292672;370
11 place d aligre;75012;2.378532;48.849129;371
11 place dauphine palais de justice;75001;2.342446;48.856212;372
11 place de la madeleine;75008;2.32372092;48.87037236;373
11 place du colonel fabien;75010;2.36962435;48.87829261;374
11 place du general catroux;75017;2.30924496;48.88261203;375
11 quai andre citroen;75015;2.28116439;48.84853549;376
11 quai de la gironde;75019;2.38465665;48.89382871;377
11 rue affre;75018;2.35555082;48.88610067;378
11 rue albert einstein;75013;2.38191576;48.82659315;379
11 rue alexandre dumas;75011;2.38983797;48.85305946;380
11 rue bailly;75003;2.355877;48.865103;381
11 rue berryer;75008;2.30359909;48.87536846;382
11 rue boulard;75014;2.32945324;48.83437466;383
11 rue charbonnel;75013;2.34273398;48.82231797;384
11 rue chardon lagache;75016;2.26667;48.844977;385
11 rue chardon lagache hopital ste perine ;75016;2.26667;48.844977;386
11 rue d aligre;75012;2.37825238;48.84928801;387
11 rue d auteuil;75016;2.26771162;48.84742385;388
11 rue de berri;75008;2.3039620100000002;48.87241268;389
11 rue de clery;75002;2.34484616;48.86764825;390
11 rue de hanovre;75002;2.3349675899999998;48.8701397;391
11 rue de l ourcq;75019;2.38448876;48.88730523;392
11 rue de la comete;75007;2.3091067499999998;48.85910587;393
11 rue de la forge royale;75011;2.380487;48.851314;394
11 rue de la tremoille;75008;2.30319883;48.86726433;395
11 rue de lyon;75012;2.37173732;48.84677418;396
11 rue de tretaigne;75018;2.34218526;48.89205388;397
11 rue de turbigo;75001;2.3484472;48.86383246;398
11 rue delambre;75014;2.32827521;48.84166134;399
11 rue des dechargeurs;75001;2.34623203;48.85999063;400
11 rue des frigos;75013;2.37989759;48.83081929;401
11 rue des taillandiers;75011;2.375256;48.854104;402
11 rue du cherche midi;75006;2.32932101;48.8514119;403
11 rue du colonel rozanoff;75012;2.38780397;48.84527381;404
11 rue du faubourg saint martin;75010;2.35577687;48.8696458;405
11 rue du figuier;75004;2.35896185;48.85395064;406
11 rue du pont louis philippe;75004;2.35564882;48.85521986;407
11 rue du theatre;75015;2.28528561;48.85008368;408
11 rue dupetit thouars;75003;2.36204624;48.86510713;409
11 rue dupont de l eure;75020;2.39997748;48.86815863;410
11 rue ferdinand gambon;75020;2.407056;48.85373;411
11 rue gaston de caillavet;75015;2.28407948;48.84930576;412
11 rue george eastman;75013;2.3591944;48.82889752;413
11 rue helder;75009;2.334905;48.872028;414
11 rue helder hotel richmond opera;75009;2.334905;48.872028;415
11 rue jean poulmarch;75010;2.36360825;48.87230906;416
11 rue lapeyrere;75018;2.34288637;48.89196673;417
11 rue leon lhermitte;75015;2.296931;48.842958;418
11 rue meynadier;75019;2.38321128;48.88355004;419
11 rue paul strauss;75020;2.40699121;48.86636248;420
11 rue payenne;75003;2.36229836;48.85810497;421
11 rue pirandello;75013;2.355895;48.836476;422
11 rue planchat;75020;2.39891705;48.85246462;423
11 rue ponscarme;75013;2.36774768;48.82648321;424
11 rue richer;75009;2.34676119;48.87397923;425
11 rue roger;75014;2.32678701;48.83550345;426
11 rue saint augustin;75002;2.33708998;48.86881545;427
11 rue saint dominique;75007;2.32241134;48.85824948;428
11 rue scribe;75009;2.3306073;48.87216338;429
11 rue spontini;75016;2.278459;48.870006;430
11 square chatillon;75014;2.323212;48.825684;431
11 villa de saint mande;75012;2.39991319;48.84626102;432
110 boulevard de la villette;75019;2.371578;48.877183;433
110 galerie de valois restaurant du palais royal ;75001;2.338945;48.865653;434
110 rue amelot;75011;2.36727547;48.86312423;435
110 rue de grenelle;75007;2.3207969999999998;48.856634;436
110 rue de grenelle ministere de l education ;75007;2.3207969999999998;48.856634;437
110 rue de meaux;75019;2.3814239;48.88547259;438
110t rue marcadet;75018;2.34291197;48.89130214;439
111 avenue de la bourdonnais;75007;2.3045003299999998;48.85502159;440
111 boulevard richard lenoir;75011;2.36990919;48.86481103;441
111 rue de grenelle;75007;2.31819589;48.857319;442
112 avenue kleber;75116;2.28797256;48.86443337;443
112 boulevard de belleville;75020;2.3784298;48.87104868;444
112 boulevard voltaire;75011;2.37759299;48.85911231;445
112 rue amelot;75011;2.36720164;48.86338705;446
112 rue championnet restaurant la renaissance;75018;2.339712;48.895825;447
112 rue de maubeuge;75010;2.35518494;48.88313132;448
112 rue du faubourg saint denis;75010;2.35620968;48.87546008;449
113 avenue ledru rollin;75011;2.377002;48.853091;450
113 rue de la faisanderie;75016;2.274119;48.865959;451
113 rue de meaux;75019;2.37831367;48.88436693;452
113 rue de rivoli;75001;2.33144112;48.86383467;453
113 rue saint maur;75011;2.37692715;48.86598193;454
113b rue de clignancourt;75018;2.34876604;48.89235132;455
114 quai de jemmapes;75010;2.3636141;48.87453485;456
114 rue de belleville;75020;2.3875986;48.87461069;457
114 rue oberkampf le riviera ;75011;2.379128;48.866029;458
115 rue saint lazare;75008;2.32585485;48.87533837;459
116 avenue des champs elysees;75008;2.30095524;48.87225996;460
116 avenue des champs elysees le lido;75008;2.300938;48.872265;461
116 avenue du president kennedy;75016;2.279515;48.85214;462
116 avenue du president kennedy maison radio ;75016;2.279515;48.85214;463
116 avenue du president kennedy radio france ;75016;2.279515;48.85214;464
116 rue du faubourg poissonniere;75010;2.34952048;48.87941144;465
117 avenue des champs elysees;75008;2.29869489;48.87225192;466
117 boulevard richard lenoir;75011;2.36956324;48.86525766;467
117 rue du cherche midi rest chez dumonet;75006;2.31981;48.845823;468
117 rue saint lazare;75008;2.3256959999999998;48.875315;469
118 rue mouffetard;75005;2.349697;48.840321;470
118 rue saint maur;75011;2.37609997;48.86721235;471
119 boulevard vincent auriol;75013;2.3649741300000002;48.83354284;472
119 rue de charenton;75012;2.37989147;48.84595315;473
119 rue des pyrenees;75020;2.404301;48.85693;474
119 rue du chateau;75014;2.31997331;48.83544225;475
11b cite de trevise;75009;2.34681601;48.87507631;476
11b rue d auteuil;75016;2.26732366;48.84730542;477
11b rue edouard robert;75012;2.39929259;48.83681701;478
11b rue geoffroy marie;75009;2.3443134199999998;48.8737874;479
11b rue saint maur;75011;2.38291404;48.85916666;480
11b rue victor schoelcher;75014;2.33049755;48.83565821;481
11bis rue d orchampt;75018;2.336988;48.886894;482
11bis rue de moscou;75008;2.325201;48.880438;483
12 24 rue de la goutte d or;75018;2.352792;48.885077;484
12 avenue de la bourdonnais;75007;2.29636311;48.85990323;485
12 avenue des gobelins;75005;2.35088969;48.83773914;486
12 avenue george v et contre allee;75008;2.301656;48.865986;487
12 avenue parmentier;75011;2.37953673;48.85941275;488
12 avenue trudaine;75009;2.343411;48.881483;489
12 avenue trudaine lycee jacques decour;75009;2.343411;48.881483;490
12 avenue trudaine lycee jacques decour ;75009;2.343411;48.881483;491
12 boulevard des capucines;75009;2.33106486;48.87061162;492
12 boulevard morland;75004;2.364581;48.849092;493
12 boulevard pershing;75017;2.28463626;48.88148161;494
12 cite de trevise;75009;2.34702228;48.8747954;495
12 place de la nation;75012;2.395133;48.847357;496
12 place denfert rochereau;75014;2.330634;48.834239;497
12 place des vosges;75004;2.36643901;48.85518715;498
12 place du pantheon;75005;2.344876;48.846802;499
12 place leon blum;75011;2.37952086;48.85850095;500
12 place saint augustin;75008;2.319672;48.875605;501
12 place vendome;75001;2.32997075;48.86696959;502
12 quai de seine resto corso;75019;2.371406;48.885065;503
