date_de_debut;date_de_fin;fk_oeuvre;fk_realisateur_ice;id_periode
2016-05-23;2016-05-23;229;268;558
2016-05-23;2016-05-23;332;165;559
2016-05-23;2016-05-23;530;411;560
2016-05-23;2016-05-23;622;90;561
2016-05-23;2016-05-23;696;661;562
2016-05-23;2016-05-23;763;142;563
2016-05-23;2016-05-24;153;114;564
2016-05-23;2016-05-27;588;276;565
2016-05-24;2016-05-24;418;469;566
2016-05-24;2016-05-24;530;411;567
2016-05-24;2016-05-24;763;142;568
2016-05-24;2016-05-24;850;330;569
2016-05-24;2016-05-25;82;3;570
2016-05-25;2016-05-25;35;594;571
2016-05-25;2016-05-25;229;268;572
2016-05-26;2016-05-26;82;3;573
2016-05-26;2016-05-26;90;444;574
2016-05-26;2016-05-26;733;363;575
2016-05-26;2016-05-26;850;330;576
2016-05-26;2016-05-27;35;594;577
2016-05-26;2016-05-27;697;319;578
2016-05-26;2016-06-14;229;268;579
2016-05-27;2016-05-27;82;3;580
2016-05-27;2016-05-27;90;444;581
2016-05-27;2016-05-27;153;114;582
2016-05-27;2016-05-27;177;134;583
2016-05-27;2016-05-27;850;330;584
2016-05-29;2016-06-03;697;319;585
2016-05-30;2016-05-30;82;3;586
2016-05-30;2016-05-30;229;268;587
2016-05-30;2016-05-30;850;330;588
2016-05-30;2016-05-31;128;670;589
2016-05-30;2016-06-01;177;134;590
2016-05-30;2016-06-01;850;330;591
2016-05-31;2016-05-31;82;3;592
2016-05-31;2016-05-31;128;670;593
2016-05-31;2016-05-31;681;148;594
2016-05-31;2016-05-31;850;330;595
2016-06-01;2016-06-01;82;3;596
2016-06-01;2016-06-01;332;165;597
2016-06-01;2016-06-01;850;330;598
2016-06-02;2016-06-02;82;3;599
2016-06-02;2016-06-03;177;134;600
2016-06-02;2016-06-03;850;330;601
2016-06-03;2016-06-03;82;3;602
2016-06-03;2016-06-03;332;165;603
2016-06-03;2016-06-03;850;330;604
2016-06-04;2016-06-04;127;60;605
2016-06-06;2016-06-06;332;165;606
2016-06-06;2016-06-06;557;718;607
2016-06-06;2016-06-06;588;276;608
2016-06-06;2016-06-07;850;330;609
2016-06-07;2016-06-07;258;219;610
2016-06-07;2016-06-07;538;241;611
2016-06-07;2016-06-07;588;276;612
2016-06-07;2016-06-08;405;617;613
2016-06-08;2016-06-08;850;330;614
2016-06-08;2016-06-10;332;165;615
2016-06-09;2016-06-09;405;617;616
2016-06-09;2016-06-09;557;718;617
2016-06-09;2016-06-09;850;330;618
