id_lieu;realisateur_ice;fk_oeuvre;fk_localisation;date_de_debut;date_de_fin
2019-132;Ruben Alves;576;565;2019-02-04;2019-02-12
2019-1721;Nadege Loiseau;792;152;2019-12-10;2019-12-11
2019-342;Alex Zamm;735;4036;2019-04-02;2019-04-02
2020-132;IGOR GOTESMAN;242;117;2020-02-23;2020-02-24
2018-506;FLO BER;216;1146;2018-04-23;2018-04-23
2017-1024;;598;4282;2017-11-23;2017-11-23
2019-133;Daniel Syrkin;4;982;2019-02-07;2019-02-07
2018-1063;Josée DAYAN;678;4948;2018-09-03;2018-09-04
2016-298;CHANG KEUN CHUN;770;690;2016-10-19;2016-10-19
2020-134;Louis Garrel;386;1948;2020-02-26;2020-02-26
2018-702;frederic Berthe;588;2135;2018-07-03;2018-07-03
2017-1025;;598;4181;2017-11-23;2017-11-23
2019-777;Sergio Castellitto;807;4380;2019-07-16;2019-07-16
2018-1064;Stéphane Batut;411;1411;2018-09-11;2018-09-12
2016-331;DOMINIQUE ROCHER;409;3478;2016-12-06;2016-12-09
2016-1473;NADIR MOKNECHE;526;3361;2016-04-04;2016-04-08
2018-719;Justine Triet;415;1726;2018-06-14;2018-06-15
2017-1034;;598;4101;2017-11-27;2017-11-27
2018-1215;Pascal Bonitzer;471;736;2018-10-15;2018-10-15
2016-631;JEREMIE RENIER;478;2731;2016-08-12;2016-08-12
2016-359;YANN GOZLAN;105;554;2016-09-27;2016-09-27
2016-1479;CEDRIC IDO;426;2597;2016-08-15;2016-08-16
2018-726;Cathy VERNEY;842;4866;2018-05-31;2018-05-31
2017-1042;Julien ABRAHAM;545;655;2017-12-05;2017-12-05
2018-1235;Stephen Cafiero;310;1480;2018-10-11;2018-10-13
2016-680;JEFFREY REINER;761;4439;2016-12-05;2016-12-05
2016-370;L. COLBEAU JUSTIN;110;4778;2016-03-10;2016-03-10
2020-141;Arnaud Selignac,;320;443;2020-02-24;2020-02-24
2018-738;Jean-Philippe Amar;229;727;2018-06-27;2018-06-29
