date_de_debut;date_de_fin;fk_oeuvre;realisateur_ice;id_periode
2016-04-03;2016-04-03;738;xiancheng deng;337
2016-04-04;2016-04-04;41;eric le roux;338
2016-04-04;2016-04-04;304;vincent primault;339
2016-04-04;2016-04-04;498;fred garson;340
2016-04-04;2016-04-04;542;vladimir rodionoff;341
2016-04-04;2016-04-04;584;frederic forestier;342
2016-04-04;2016-04-04;738;xiancheng deng;343
2016-04-04;2016-04-07;189;novemie lvovsky;344
2016-04-04;2016-04-08;526;nadir mokneche;345
2016-04-05;2016-04-05;41;eric le roux;346
2016-04-05;2016-04-05;498;fred garson;347
2016-04-05;2016-04-05;542;vladimir rodionoff;348
2016-04-05;2016-04-05;718;audrey dana;349
2016-04-05;2016-04-06;418;martin provost;350
2016-04-06;2016-04-06;304;vincent primault;351
2016-04-06;2016-04-06;498;fred garson;352
2016-04-06;2016-04-06;542;vladimir rodionoff;353
2016-04-06;2016-04-09;718;audrey dana;354
2016-04-07;2016-04-07;66;blandine lenoir;355
2016-04-07;2016-04-07;304;vincent primault;356
2016-04-07;2016-04-07;418;martin provost;357
2016-04-07;2016-04-07;542;vladimir rodionoff;358
2016-04-07;2016-04-07;653;melanie laurent;359
2016-04-07;2016-04-08;542;vladimir rodionoff;360
2016-04-08;2016-04-08;41;eric le roux;361
2016-04-08;2016-04-08;66;blandine lenoir;362
2016-04-08;2016-04-08;99;july hygreck;363
2016-04-08;2016-04-08;189;novemie lvovsky;364
2016-04-08;2016-04-08;498;fred garson;365
2016-04-08;2016-04-08;515;franck magnier;366
2016-04-09;2016-04-09;526;nadir mokneche;367
2016-04-09;2016-04-10;718;audrey dana;368
2016-04-11;2016-04-11;41;eric le roux;369
2016-04-11;2016-04-11;66;blandine lenoir;370
2016-04-11;2016-04-11;304;vincent primault;371
2016-04-11;2016-04-11;418;martin provost;372
2016-04-11;2016-04-11;498;fred garson;373
2016-04-11;2016-04-11;526;nadir mokneche;374
2016-04-11;2016-04-11;542;vladimir rodionoff;375
2016-04-11;2016-04-11;557;valerie lemercier;376
2016-04-11;2016-04-11;594;lea mazer;377
2016-04-11;2016-04-11;714;david moreau;378
2016-04-12;2016-04-12;66;blandine lenoir;379
2016-04-12;2016-04-12;189;novemie lvovsky;380
2016-04-12;2016-04-12;289;audrey estrougo;381
2016-04-12;2016-04-12;418;martin provost;382
2016-04-12;2016-04-12;498;fred garson;383
2016-04-12;2016-04-12;526;nadir mokneche;384
2016-04-12;2016-04-12;557;valerie lemercier;385
2016-04-12;2016-04-12;594;lea mazer;386
2016-04-12;2016-04-12;714;david moreau;387
2016-04-13;2016-04-13;66;blandine lenoir;388
2016-04-13;2016-04-13;189;novemie lvovsky;389
2016-04-13;2016-04-13;418;martin provost;390
2016-04-13;2016-04-13;498;fred garson;391
2016-04-13;2016-04-13;526;nadir mokneche;392
2016-04-13;2016-04-13;557;valerie lemercier;393
2016-04-13;2016-04-13;594;lea mazer;394
2016-04-13;2016-04-13;714;david moreau;395
2016-04-13;2016-04-14;498;fred garson;396
2016-04-13;2016-04-14;667;vincent jamain;397
2016-04-14;2016-04-14;127;arnaud malherbe;398
2016-04-14;2016-04-14;189;novemie lvovsky;399
2016-04-14;2016-04-14;594;lea mazer;400
2016-04-14;2016-04-14;667;vincent jamain;401
2016-04-14;2016-04-15;526;nadir mokneche;402
2016-04-14;2016-04-15;557;valerie lemercier;403
2016-04-15;2016-04-15;66;blandine lenoir;404
2016-04-15;2016-04-15;189;novemie lvovsky;405
2016-04-15;2016-04-15;498;fred garson;406
2016-04-15;2016-04-15;594;lea mazer;407
2016-04-15;2016-04-15;667;vincent jamain;408
2016-04-16;2016-04-16;189;novemie lvovsky;409
2016-04-16;2016-04-16;640;christian schwochow;410
2016-04-18;2016-04-18;99;july hygreck;411
2016-04-18;2016-04-18;205;etienne comar;412
2016-04-18;2016-04-18;304;vincent primault;413
2016-04-18;2016-04-18;526;nadir mokneche;414
2016-04-18;2016-04-18;594;lea mazer;415
2016-04-18;2016-04-19;258;erick zonca;416
2016-04-18;2016-04-19;408;chad chenouga;417
2016-04-18;2016-04-19;557;valerie lemercier;418
2016-04-18;2016-04-23;189;novemie lvovsky;419
2016-04-18;2016-04-27;127;arnaud malherbe;420
2016-04-19;2016-04-19;189;novemie lvovsky;421
2016-04-19;2016-04-19;205;etienne comar;422
2016-04-19;2016-04-19;258;erick zonca;423
2016-04-19;2016-04-19;526;nadir mokneche;424
2016-04-19;2016-04-19;557;valerie lemercier;425
2016-04-19;2016-04-19;594;lea mazer;426
2016-04-19;2016-04-19;683;david lynch;427
2016-04-19;2016-04-20;99;july hygreck;428
2016-04-20;2016-04-20;381;laurent perreau;429
2016-04-20;2016-04-20;557;valerie lemercier;430
2016-04-20;2016-04-20;594;lea mazer;431
2016-04-20;2016-04-21;189;novemie lvovsky;432
2016-04-20;2016-04-21;258;erick zonca;433
2016-04-20;2016-04-21;408;chad chenouga;434
2016-04-20;2016-04-21;680;jean claude brisseau;435
2016-04-21;2016-04-21;557;valerie lemercier;436
2016-04-21;2016-04-21;594;lea mazer;437
2016-04-21;2016-04-22;526;nadir mokneche;438
2016-04-21;2016-04-23;189;novemie lvovsky;439
2016-04-22;2016-04-22;82;aditya chopra;440
2016-04-22;2016-04-22;128;sou abadi;441
2016-04-22;2016-04-22;189;novemie lvovsky;442
2016-04-22;2016-04-22;205;etienne comar;443
2016-04-22;2016-04-22;408;chad chenouga;444
2016-04-22;2016-04-22;557;valerie lemercier;445
2016-04-22;2016-04-22;594;lea mazer;446
2016-04-22;2016-04-23;64;albert dupontel;447
2016-04-23;2016-04-23;189;novemie lvovsky;448
2016-04-25;2016-04-25;82;aditya chopra;449
2016-04-25;2016-04-25;127;arnaud malherbe;450
2016-04-25;2016-04-25;189;novemie lvovsky;451
2016-04-25;2016-04-25;205;etienne comar;452
2016-04-25;2016-04-25;381;laurent perreau;453
2016-04-25;2016-04-25;408;chad chenouga;454
2016-04-25;2016-04-25;594;lea mazer;455
2016-04-25;2016-04-26;557;valerie lemercier;456
2016-04-25;2016-04-27;526;nadir mokneche;457
2016-04-25;2016-04-27;594;lea mazer;458
2016-04-26;2016-04-26;35;philippe lacheau;459
2016-04-26;2016-04-26;82;aditya chopra;460
2016-04-26;2016-04-26;127;arnaud malherbe;461
2016-04-26;2016-04-27;189;novemie lvovsky;462
